iperf -c 192.168.0.100 -P 1 -i 1 -m -p 5001 -f k -t 160 -d -L 5001
------------------------------------------------------------
Server listening on TCP port 5001
TCP window size:  128 KByte (default)
------------------------------------------------------------
------------------------------------------------------------
Client connecting to 192.168.0.100, TCP port 5001
TCP window size: 43.8 KByte (default)
------------------------------------------------------------
[  4] local 192.168.0.103 port 33756 connected with 192.168.0.100 port 5001 (MSS=1448)
[ ID] Interval       Transfer     Bandwidth
[  4] 99.0000-100.0000 sec  0.000 KBytes  0.000 Kbits/sec
[  4] 100.0000-101.0000 sec  0.000 KBytes  0.000 Kbits/sec
[  4] 101.0000-102.0000 sec  0.000 KBytes  0.000 Kbits/sec
[  4] 102.0000-103.0000 sec  0.000 KBytes  0.000 Kbits/sec
[  4] 103.0000-104.0000 sec  0.000 KBytes  0.000 Kbits/sec
[  4] 104.0000-105.0000 sec   512 KBytes  4194 Kbits/sec
[  4] 105.0000-106.0000 sec  2869 KBytes  23500 Kbits/sec
[  4] 106.0000-107.0000 sec  2679 KBytes  21948 Kbits/sec
[  4] 107.0000-108.0000 sec  2816 KBytes  23069 Kbits/sec
[  4] 108.0000-109.0000 sec  2816 KBytes  23069 Kbits/sec
[  4] 109.0000-110.0000 sec  1993 KBytes  16326 Kbits/sec
[  4] 110.0000-111.0000 sec  1209 KBytes  9904 Kbits/sec
[  4] 111.0000-112.0000 sec  1207 KBytes  9886 Kbits/sec
[  4] 112.0000-113.0000 sec   317 KBytes  2594 Kbits/sec
[  4] 113.0000-114.0000 sec  1278 KBytes  10468 Kbits/sec
[  4] 114.0000-115.0000 sec  1523 KBytes  12475 Kbits/sec
[  4] 115.0000-116.0000 sec   892 KBytes  7304 Kbits/sec
[  4] 116.0000-117.0000 sec   573 KBytes  4698 Kbits/sec
[  4] 117.0000-118.0000 sec   573 KBytes  4692 Kbits/sec
[  4] 118.0000-119.0000 sec   380 KBytes  3116 Kbits/sec
[  4] 119.0000-120.0000 sec  1021 KBytes  8365 Kbits/sec
[  4] 120.0000-121.0000 sec   188 KBytes  1540 Kbits/sec
[  4] 121.0000-122.0000 sec   509 KBytes  4170 Kbits/sec
[  4] 122.0000-123.0000 sec  62.9 KBytes   515 Kbits/sec
[  4] 123.0000-124.0000 sec   701 KBytes  5746 Kbits/sec
[  4] 124.0000-125.0000 sec   253 KBytes  2073 Kbits/sec
[  4] 125.0000-126.0000 sec   320 KBytes  2618 Kbits/sec
[  4] 126.0000-127.0000 sec   572 KBytes  4686 Kbits/sec
[  4] 127.0000-128.0000 sec   636 KBytes  5213 Kbits/sec
[  4] 128.0000-129.0000 sec   574 KBytes  4704 Kbits/sec
[  4] 129.0000-130.0000 sec   955 KBytes  7825 Kbits/sec
[  4] 130.0000-131.0000 sec   252 KBytes  2067 Kbits/sec
[  4] 131.0000-132.0000 sec   190 KBytes  1558 Kbits/sec
[  4] 132.0000-133.0000 sec  1278 KBytes  10468 Kbits/sec
[  4] 133.0000-134.0000 sec  1590 KBytes  13026 Kbits/sec
[  4] 134.0000-135.0000 sec  2356 KBytes  19299 Kbits/sec
[  4] 135.0000-136.0000 sec  2809 KBytes  23015 Kbits/sec
[  4] 136.0000-137.0000 sec  4263 KBytes  34926 Kbits/sec
[  4] 137.0000-138.0000 sec  2816 KBytes  23069 Kbits/sec
[  4] 138.0000-139.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 139.0000-140.0000 sec  2816 KBytes  23069 Kbits/sec
[  4] 140.0000-141.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 141.0000-142.0000 sec  2816 KBytes  23069 Kbits/sec
[  4] 142.0000-143.0000 sec  1868 KBytes  15299 Kbits/sec
[  4] 143.0000-144.0000 sec  2232 KBytes  18287 Kbits/sec
[  4] 144.0000-145.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 145.0000-146.0000 sec  2651 KBytes  21713 Kbits/sec
[  4] 146.0000-147.0000 sec  2545 KBytes  20845 Kbits/sec
[  4] 147.0000-148.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 148.0000-149.0000 sec  3865 KBytes  31666 Kbits/sec
[  4] 149.0000-150.0000 sec  2816 KBytes  23069 Kbits/sec
[  4] 150.0000-151.0000 sec  4441 KBytes  36381 Kbits/sec
[  4] 151.0000-152.0000 sec  2944 KBytes  24117 Kbits/sec
[  4] 152.0000-153.0000 sec  4480 KBytes  36700 Kbits/sec
[  4] 153.0000-154.0000 sec  4083 KBytes  33450 Kbits/sec
[  4] 154.0000-155.0000 sec  3456 KBytes  28312 Kbits/sec
[  4] 155.0000-156.0000 sec  1813 KBytes  14852 Kbits/sec
[  4] 156.0000-157.0000 sec  1658 KBytes  13583 Kbits/sec
[  4] 157.0000-158.0000 sec  1014 KBytes  8304 Kbits/sec
[  4] 158.0000-159.0000 sec  2550 KBytes  20887 Kbits/sec
[  4] 159.0000-160.0000 sec  4089 KBytes  33500 Kbits/sec
[  4] 160.0000-160.0113 sec   256 KBytes  184836 Kbits/sec
[  4] 0.0000-160.0113 sec  384685 KBytes  19694 Kbits/sec
Done.

