iperf -c 192.168.0.100 -P 1 -i 1 -m -p 5001 -f k -t 160 -d -L 5001
------------------------------------------------------------
Server listening on TCP port 5001
TCP window size:  128 KByte (default)
------------------------------------------------------------
------------------------------------------------------------
Client connecting to 192.168.0.100, TCP port 5001
TCP window size: 43.8 KByte (default)
------------------------------------------------------------
[  4] local 192.168.0.102 port 47852 connected with 192.168.0.100 port 5001 (MSS=1448)
[ ID] Interval       Transfer     Bandwidth
[  4] 65.0000-66.0000 sec  5632 KBytes  46137 Kbits/sec
[  4] 66.0000-67.0000 sec  5760 KBytes  47186 Kbits/sec
[  4] 67.0000-68.0000 sec  5760 KBytes  47186 Kbits/sec
[  4] 68.0000-69.0000 sec  6016 KBytes  49283 Kbits/sec
[  4] 69.0000-70.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 70.0000-71.0000 sec  7040 KBytes  57672 Kbits/sec
[  4] 71.0000-72.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 72.0000-73.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 73.0000-74.0000 sec  6144 KBytes  50332 Kbits/sec
[  4] 74.0000-75.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 75.0000-76.0000 sec  5632 KBytes  46137 Kbits/sec
[  4] 76.0000-77.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 77.0000-78.0000 sec  4480 KBytes  36700 Kbits/sec
[  4] 78.0000-79.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 79.0000-80.0000 sec  5760 KBytes  47186 Kbits/sec
[  4] 80.0000-81.0000 sec  4480 KBytes  36700 Kbits/sec
[  4] 81.0000-82.0000 sec  5888 KBytes  48234 Kbits/sec
[  4] 82.0000-83.0000 sec  5632 KBytes  46137 Kbits/sec
[  4] 83.0000-84.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 84.0000-85.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 85.0000-86.0000 sec  5760 KBytes  47186 Kbits/sec
[  4] 86.0000-87.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 87.0000-88.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 88.0000-89.0000 sec  5888 KBytes  48234 Kbits/sec
[  4] 89.0000-90.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 90.0000-91.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 91.0000-92.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 92.0000-93.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 93.0000-94.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 94.0000-95.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 95.0000-96.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 96.0000-97.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 97.0000-98.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 98.0000-99.0000 sec  5760 KBytes  47186 Kbits/sec
[  4] 99.0000-100.0000 sec  2816 KBytes  23069 Kbits/sec
[  4] 100.0000-101.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 101.0000-102.0000 sec  2816 KBytes  23069 Kbits/sec
[  4] 102.0000-103.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 103.0000-104.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 104.0000-105.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 105.0000-106.0000 sec  5760 KBytes  47186 Kbits/sec
[  4] 106.0000-107.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 107.0000-108.0000 sec  5888 KBytes  48234 Kbits/sec
[  4] 108.0000-109.0000 sec  6016 KBytes  49283 Kbits/sec
[  4] 109.0000-110.0000 sec  4480 KBytes  36700 Kbits/sec
[  4] 110.0000-111.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 111.0000-112.0000 sec  5888 KBytes  48234 Kbits/sec
[  4] 112.0000-113.0000 sec  6016 KBytes  49283 Kbits/sec
[  4] 113.0000-114.0000 sec  4480 KBytes  36700 Kbits/sec
[  4] 114.0000-115.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 115.0000-116.0000 sec  5632 KBytes  46137 Kbits/sec
[  4] 116.0000-117.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 117.0000-118.0000 sec  5760 KBytes  47186 Kbits/sec
[  4] 118.0000-119.0000 sec  4096 KBytes  33554 Kbits/sec
[  4] 119.0000-120.0000 sec  5760 KBytes  47186 Kbits/sec
[  4] 120.0000-121.0000 sec  4096 KBytes  33554 Kbits/sec
[  4] 121.0000-122.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 122.0000-123.0000 sec  5760 KBytes  47186 Kbits/sec
[  4] 123.0000-124.0000 sec  5632 KBytes  46137 Kbits/sec
[  4] 124.0000-125.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 125.0000-126.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 126.0000-127.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 127.0000-128.0000 sec  5632 KBytes  46137 Kbits/sec
[  4] 128.0000-129.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 129.0000-130.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 130.0000-131.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 131.0000-132.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 132.0000-133.0000 sec  5632 KBytes  46137 Kbits/sec
[  4] 133.0000-134.0000 sec  4480 KBytes  36700 Kbits/sec
[  4] 134.0000-135.0000 sec  4736 KBytes  38797 Kbits/sec
[  4] 135.0000-136.0000 sec  5376 KBytes  44040 Kbits/sec
[  4] 136.0000-137.0000 sec  4608 KBytes  37749 Kbits/sec
[  4] 137.0000-138.0000 sec  4480 KBytes  36700 Kbits/sec
[  4] 138.0000-139.0000 sec  6016 KBytes  49283 Kbits/sec
[  4] 139.0000-140.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 140.0000-141.0000 sec  5888 KBytes  48234 Kbits/sec
[  4] 141.0000-142.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 142.0000-143.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 143.0000-144.0000 sec  4608 KBytes  37749 Kbits/sec
[  4] 144.0000-145.0000 sec  6016 KBytes  49283 Kbits/sec
[  4] 145.0000-146.0000 sec  2816 KBytes  23069 Kbits/sec
[  4] 146.0000-147.0000 sec  6850 KBytes  56116 Kbits/sec
[  4] 147.0000-148.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 148.0000-149.0000 sec  5888 KBytes  48234 Kbits/sec
[  4] 149.0000-150.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 150.0000-151.0000 sec  4480 KBytes  36700 Kbits/sec
[  4] 151.0000-152.0000 sec  5888 KBytes  48234 Kbits/sec
[  4] 152.0000-153.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 153.0000-154.0000 sec  4608 KBytes  37749 Kbits/sec
[  4] 154.0000-155.0000 sec  4480 KBytes  36700 Kbits/sec
[  4] 155.0000-156.0000 sec  4480 KBytes  36700 Kbits/sec
[  4] 156.0000-157.0000 sec  4224 KBytes  34603 Kbits/sec
[  4] 157.0000-158.0000 sec  6016 KBytes  49283 Kbits/sec
[  4] 158.0000-159.0000 sec  4352 KBytes  35652 Kbits/sec
[  4] 159.0000-160.0000 sec  5504 KBytes  45089 Kbits/sec
[  4] 160.0000-160.2654 sec   256 KBytes  7903 Kbits/sec
[  4] 0.0000-160.2654 sec  796354 KBytes  40706 Kbits/sec
Done.

